codigo,Tipología de Oficina,Red,Fecha de Apertura,Nombre,Cantidad Puntos de Atención,Dirección,Indicativo,Teléfono Oficina,Fax,codigoOficina,Nombre Oficina Adscrita,Servilinea,Cliente Externo,Abreviado,Código Dane,Municipio,Departamento,Tipo de Ciudad,Uso del suelo,Región,Zona Comercial,Gerencia Administrativa,Horario Normal,Horario Adicional,Servicio Prestado en Horario Adicional,Atencion a personas con Discapacidad,Servicaja,Cajero Automático,Depositario,Kioscos,Multifuncionales ,Servilinea,Internet,Cantidad de filas propuestas ,Fila Invitados ,Fila Preferencial,Fila Clientes,Fila Tarjeta Verde
14,Oficina,PMP,12/09/1958,Los Héroes,1,Avenida Carrera 20 N° 79 - 40,51,2 181967 - 2 180211 - 2 180236 - 2 180239-318 3509438  - Cel. Gerente: 317 3395824 - Cel JDS:3184250367,,,,3 820000  ,3077000 + Cód.. Oficina,44014,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 3  Bogotá - Cl. 72,Bogotá Norte,Lunes a Viernes    9:00 a.m. -  3:30 p.m.  Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
15,Oficina,MB,Al 31 de Enero,Centro Comercial Calima Bogotá,1,"Avenida Calle 19 N° 28-80 Locales B146, B147 y B148",51,3 077000 Cód. 015 - 3 786564 y 3 786563 - Cel. Gerente: 316 3219341 - Cel JDS:3185953969 - Cel JDS HA 3188759677,,,,3 820000  ,3077000 + Cód.. Oficina,44015,11001,Bogotá D.C.,Bogotá D.C.,Principal,Centro Comercial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,Lunes a Viernes 5:00 p.m. - 8:00 p.m.   / Sábado 10:00 a.m. - 4:00 p.m.,Caja / Plataforma,No,NO,2,1,0,0,Sí,No,3,X,X,X,
16,Oficina,PMP,04/05/1992,Cota,1,Carrera 4a N° 12-12,51,8 414843 - 8 414833 - 8 414842 - Cel. Gerente: 318 7345903 - Cel JDS:3187882307,,,,3 820000,3077000 + Cód.. Oficina,44016 /  8770016,25214,Cota,Cundinamarca,Población,Comercial,Bogotá Norte,BN - 5  Bogotá - NorOcc.,Bogotá Norte,"Lunes a viernes 9:00 a.m. - 3:30 p.m. / Fin de mes: 9:00 a.m. - 3:00 p.m.
",Sábado: 9:00 a.m. - 2:00 p.m.,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
17,Oficina,PMP,08/11/1966,CUAN,1,Avenida de Las Américas N° 36-22 ,51,3 077000 Cód. 017 - 2 442800 - 2 691220 - 3 682045-3 684483 - 2 442792  - Cel. Gerente: 317 3734358 - Cel JDS:3166200868,,,,3 820000  ,3077000 + Cód.. Oficina,44017,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 04 Bogotá - Cl. 26,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,0,0,0,No,No,3,X,X,X,
18,Oficina,PMP,03/05/1972,Zona Industrial Montevideo,1,Calle 17 N° 68 D - 34,51,3 077000 Cód. 018 y 4122243 - Cel. Gerente: 317 4299420 - Cel JDS:3152622166,,,,3 820000  ,3077000 + Cód.. Oficina,44018,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 06 Bogotá - Zona Industrial,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,2,1,0,0,Sí,No,3,X,X,X,
19,Oficina,PMP,19/08/1954,Barrio Restrepo,1,Carrera 24 N° 18 - 34 Sur,51,3 077000 Cód. 019 - 3 615563  - 3611430 -  Cel. Gerente: 316 7416081 - Cel JDS:3183929568,,,,3 820000  ,3077000 + Cód.. Oficina,44019,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 07 Bogotá - Sur Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,3,1,1,0,No,No,3,X,X,X,
20,Oficina,PMP,14/09/1998,San José,1,Avenida Carrera 68 N° 10-47,51,3 077000 Cód. 020 - 2 908340 - 2 903911  - Cel. Gerente: 317 6716071 - Cel JDS:3166174902,,,,3 820000  ,3077000 + Cód.. Oficina,44020,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 06 Bogotá - Zona Industrial,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
21,Oficina,PMP,08/02/1965,Veinte de Julio,1,Carrera 6 N° 25 C - 05 Sur,51,3 077000 Cód. 021 - 2 392000 -  2 391317 - 2 391432 - Cel. Gerente: 316 4624215 - Cel JDS:3187882245,,,,3 820000  ,3077000 + Cód.. Oficina,44021,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 07 Bogotá - Sur Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
22,Oficina,PMP,03/01/1983,Venecia,1,Diagonal 46 A Sur N° 52C-78,51,3 077000 Cód. 022 - 7 111524 - 7 417000 -  7 111535 - Cel. Gerente: 318 7704217 - Cel JDS:3166195616,,,,3 820000  ,3077000 + Cód.. Oficina,44022,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 01 Bogotá - AutoSur,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,2,0,1,0,Sí,No,4,X,X,X,X
23,Oficina,MB,AL 31 DE ENERO,Modelia,1,Calle 24B N° 75-02,51,3 077000 Cód. 023 - 4 106566 - 4 106577 - 2 633658 - 4 106588 - Cel. Gerente: 316 4911423 - Cel JDS:3163338730,,,,3 820000  ,3077000 + Cód.. Oficina,44023,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Sur,BS - 04 Bogotá - Cl. 26,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
24,Oficina,PMP,28/03/1985,"Centro Comercial Diver Plaza Álamos
",1,Diagonal 71B No 100 - 11 Local 105 y 106,51,4 309493  -2 246389 - Cel. Gerente: 318 7163369 - Cel JDS:3188763050 - Cel JDS HA 3186961780,2 246369,,,3 820000  ,3077000 + Cód.. Oficina,44024,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Norte,BN - 6  Bogotá - Occidental,Bogotá Norte,Lunes a viernes  9:00 a.m. - 3:30 p.m. Fin de mes: 9:00 a.m. - 3:00 p.m.,Horario adicional: Lunes a viernes  5:00 p.m. - 8:00 p.m. - Sábado  10:00 a.m. - 4:00 p.m.,,No,NO,1,1,0,0,Sí,No,4,X,X,X,X
25,Oficina,MB,AL 31 DE ENERO,Plaza de las Américas,1,Centro Comercial Plaza de las Américas - Carrera 71D N° 6-94 Sur Locales 1903-1905-1907-1909,51,3 077000 Cód. 025 - 4 207716 - 4 201891 - 4 207405  - Cel. Gerente: 317 3699213 - Cel JDS:3163274231,,,,3 820000  ,3077000 + Cód.. Oficina,44024,11001,Bogotá D.C.,Bogotá D.C.,Principal,Centro Comercial,Bogotá Sur,BS - 05 Bogotá - Occidente,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.,Lunes a Viernes  5:00 p.m. - 8:00 p.m.  / Sábado 10:00 a.m. -  4:00 p.m.,Caja / Plataforma,No,NO,2,0,1,1,Sí,No,3,X,X,X,
26,Oficina,MB,AL 31 DE ENERO,Santuario 20 de Julio,1,Carrera 6 N° 22 C 34 Sur,51, 3 077000 Cód. 026 - 3 665092 - 3 665089  - Cel. Gerente: 317 5168558 - Cel JDS:3182659933,,,,3 820000  ,3077000 + Cód.. Oficina,44026,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 07 Bogotá - Sur Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.,Sábado 9:00 a.m. - 12:00  p.m.,Caja / Plataforma,No,NO,3,0,1,0,Sí,No,3,X,X,X,
27,Oficina,PMP,15/08/1996,Carvajal,1,Avenida Primero de Mayo  N° 70 B - 29 Sur,51,3 077000 Cód. 027 - 4 530661 - 4 530284  - Cel. Gerente: 318 7757398 - Cel JDS:3184827487,,,,3 820000  ,3077000 + Cód.. Oficina,44027,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 05 Bogotá - Occidente,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.,NO,,No,NO,2,1,0,0,Sí,No,4,X,X,X,X
28,Oficina,PMP,11-ago.-61,Calle 13 Carrera 30,1,Calle 13 N° 30 - 32,51,3 077000 Cód. 028 - 2 472430 - 2 478999 - 2 471988 - Cel. Gerente: 315 5410071 - Cel JDS:3167512056,,,,3 820000  ,3077000 + Cód.. Oficina,44028,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.,NO,,No,NO,1,0,0,0,No,No,3,X,X,X,
30,Oficina,MB,AL 31 DE ENERO,Gaitana,1,Avenida Cundinamarca Carrera115 N° 138B-07,51,6 886895 - 6 977486 - 6 977506 - 6 886893 - 6 870653 - Cel. Gerente: 317 4246145 - Cel JDS:3168255826,6 886895,,,3 820000  ,3077000 + Cód.. Oficina,44030,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 5  Bogotá - NorOcc.,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
32,Oficina,PMP,13/02/1975,Carrera 24 N° 26-01,1,Carrera 24 N° 26-01,51,3 077000 Cód. 032 - 2 873671 - 2 854700 - Cel. Gerente: 316 2339305 - Cel JDS:3176804692,,,,3 820000  ,3077000 + Cód.. Oficina,42010 - 42245 - 44032,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,Sí,NO,0,0,0,0,Sí,No,4,X,X,X,X
33,Oficina,PMP,30/04/1968,Andes,1,"Carrera 8 N° 12 B -  86
",51,3 077000 Cód. 033 - 2 828022 - 2 861553 - 2 867879 - 2 863675 - Cel. Gerente: 318 5894530 - Cel JDS:3185746250,,,,3 820000  ,3077000 + Cód.. Oficina,44033,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 03 Bogotá - Centro Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
34,Oficina,PMP,03/05/1961,Parque Santander,1,Carrera 7 N° 16 - 36 Interior 4,51,3 077000 Cód. 034 - 2 848900 - 2 848905 - Cel. Gerente: 318 4870481 - Cel JDS:3185390962,,,,3 820000  ,3077000 + Cód.. Oficina,44034,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 03 Bogotá - Centro Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,2,0,0,0,Sí,No,4,X,X,X,X
35,Oficina,PMP,03/10/1983,Avenida 19,1,Avenida 19 N° 6 - 51,51,3 077000 Cód. 035 - 2 820815 - 2 436697 - Cel. Gerente: 316 3196539 - Cel JDS:3159282953,,,,3 820000  ,3077000 + Cód.. Oficina,44035,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 03 Bogotá - Centro Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,2,0,1,0,Sí,No,4,X,X,X,X
36,Oficina,PMP,11/09/1958,Carrera 10 Calle 17,1,Carrera 10 N° 16-92,51,3 077000 Cód. 036 - 2 861913 - 2 831733 -     2 862475 - Cel. Gerente: 317 5011027 - Cel JDS:3157507701,,,,3 820000  ,3077000 + Cód.. Oficina,44036,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 03 Bogotá - Centro Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,1,1,0,Sí,No,3,X,X,X,
37,Oficina,PMP,27/11/1961,Carrera 47,1,Calle 13 N° 46 - 57,51,3 077000 Cód. 037 - 2 693148 - Cel. Gerente: 316 5292906 - Cel JDS:3168741804,,,,3 820000  ,3077000 + Cód.. Oficina,42011 - 42246 - 44037,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
38,Oficina,PMP,30/11/1956,Avenida Chile,1,Calle 72 N° 13-25 ,51,2 115452 - 2 558804 - 2 559071 - 2 354029 - 2 559720 - Cel. Gerente: 316 4730965 - Cel JDS:3188312205,,,,3 820000  ,3077000 + Cód.. Oficina,44038,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 3  Bogotá - Cl. 72,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,1,0,Sí,No,3,X,X,X,
39,Oficina,PMP,22/08/1959,Parque El Virrey,1,Carrera 15 N°  88-90 Local 101 Edificio Zimma,51,2 578877 - 2 578891 - 2 578903 - Cel. Gerente: 318 5165767 - Cel JDS:3168261352,,,,3 820000  ,3077000 + Cód.. Oficina,44039,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 4  Bogotá - Cr. 7,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,1,1,Sí,No,3,X,X,X,
40,Oficina,PMP,03/02/1950,Chapinero,1,Carrera 13 N° 61-08,51,2 497153 - 3 456000 - 3 450255 - 2 494424 - 2 104562 - 2 104563  - Cel. Gerente: 318 5166144 - Cel SDS:3174983303 - Cel JOP: 3183929922,,,,3 820000  ,3077000 + Cód.. Oficina,44040,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN- 2  Bogotá -  Chapinero,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
41,Oficina,PMP,13/07/1961,Calle 54 N° 10-73,1,Calle 54 N° 10-73,51,3 455331 - 2 350699 - 2 350703 - 2 350704- Cel. Gerente: 318 2653914 - Cel JDS:3185733675,,,,3 820000  ,3077000 + Cód.. Oficina,44041,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN- 2  Bogotá -  Chapinero,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,No,No,3,X,X,X,
43,Oficina,PMP,05/01/1972,Universidad Javeriana,1,Carrera 7 N°  40-70,51,3 077000 Cód. 043 - 3 384524  - Cel. Gerente: 317 4401831 - Cel JDS:3188342109,,,,3 820000  ,3077000 + Cód.. Oficina,44043,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,Sí,NO,1,0,0,0,Sí,No,3,X,X,X,
44,Oficina,PMP,25/08/1975,Ilarco,1,Avenida Suba N° 115 - 52,51,6 135981 - 6 135984 - 6 136020 - 6 136010 - Cel. Gerente: 318 5274496 - Cel JDS:3173751615,2 538312,,,3 820000  ,3077000 + Cód.. Oficina,44044,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Norte,BN - 5  Bogotá - NorOcc.,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,No,No,3,X,X,X,
45,Oficina,PMP,19/07/1972,Central de Abastos,1,Carrera 80 No 2-51 Local 4 Piso 1,51,3 077000 Cód. 045 - 4 505198 - 4 500577 - 2 645580 - Cel. Gerente: 318 5495496 - Cel JDS:3184253592,,,,3 820000  ,3077000 + Cód.. Oficina,44045,11001,Bogotá D.C.,Bogotá D.C.,Principal,Plaza de Mercado,Bogotá Sur,BS - 05 Bogotá - Occidente,Bogotá Sur,Lunes a viernes 8:00 a.m. - 3:30 p.m. - Fin de mes 8:00 a.m. - 3:00 p.m.,Sábado 8:00 a.m - 1:00 p.m.,,No,NO,1,0,1,0,Sí,No,4,X,X,X,X
46,Oficina,PMP,09/05/1978,Ciudad Salitre,1,Avenida  El Dorado N° 69 A 51 Local 107-108  ,51,3 077000 Cód. 046 - 2 959396 - 2 959473 - 2 959391 -2 959432  - Cel. Gerente: 318 7882330 - Cel JDS:3183022909,,,,3 820000  ,3077000 + Cód.. Oficina,44046,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Sur,BS - 04 Bogotá - Cl. 26,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,2,1,0,0,No,No,4,X,X,X,X
47,Solo Clientes,PMP,12/12/1973,Unicentro Bogotá Entrada Principal,1,Avenida Carrera 15 N° 124 – 30 Local 1-97,51,6 205617 - 6 120291 - 6 120264 - 6 120233 - Cel. Gerente: 316 8304308 - Cel SDS:3156410445 - Cel JDS: 3183319198 - Cel JDS HA: 3163071872,6 196137,,,3 820000  ,3077000 + Cód.. Oficina,44047,11001,Bogotá D.C.,Bogotá D.C.,Principal,Centro Comercial,Bogotá Norte,BN - 7  Bogotá - Santa Barbará,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,Lunes a Viernes 5:00 p.m. - 8:00 p.m.   / Sábado 10:00 a.m. - 4:00 p.m.,Caja / Plataforma,No,NO,4,1,0,0,Sí,No,2,,X,X,
49,Oficina,PMP,11/12/1974,El Castillo,1,Carrera 7 N° 72 - 58,51,2 553076 - 2 553070 - 2 350200 - 2 357238 - 2 358378 - 2 357376 - Cel. Gerente: 317 5625993 - Cel JDS:3185614589,,,,3 820000  ,3077000 + Cód.. Oficina,44049,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 3  Bogotá - Cl. 72,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,Sí,NO,1,1,1,0,Sí,No,3,X,X,X,
50,Oficina,PMP,14/04/2000,El Nogal,1,Carrera  7a N° 76 - 35,51,6 405516 - 6 405043 - 6 405053 - 6 405073 - Cel. Gerente: 316 8754124 - Cel JDS:3154583377,,553,Extensión de Caja Premium La Cabrera,3 820000  ,3077000 + Cód.. Oficina,44050,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Norte,BN - 3  Bogotá - Cl. 72,Bogotá Norte,Lunes a Viernes    9:00 a.m. -  3:30 p.m.  Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
